GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AiSD2024ZEx5,huffmancode.structures.nodes,KVPair,0,15,0,0,0,6,0,3,0,3
AiSD2024ZEx5,huffmancode.structures.nodes,CharNode,20,43,4,0,5,16,4,8,2,8
AiSD2024ZEx5,huffmancode.structures.nodes,CodeNode,15,0,0,0,6,0,3,0,3,0
AiSD2024ZEx5,huffmancode.structures.nodes,LeafCharNode,0,8,0,0,0,3,0,1,0,1
AiSD2024ZEx5,default,Main,134,0,20,0,34,0,12,0,2,0
AiSD2024ZEx5,huffmancode.structures,Map,55,252,13,21,15,57,12,19,2,12
AiSD2024ZEx5,huffmancode.structures,SimpleStack,5,75,1,3,2,20,2,7,1,6
AiSD2024ZEx5,huffmancode.structures,CharMap,9,182,4,14,4,40,5,11,1,6
AiSD2024ZEx5,huffmancode.structures,NodePriorityQueue,0,59,0,4,0,16,0,7,0,5
AiSD2024ZEx5,huffmancode.structures,RedBlackTree,80,309,18,40,21,77,17,38,6,20
AiSD2024ZEx5,huffmancode.structures,CharacterTree,42,239,8,17,7,61,7,17,0,11
AiSD2024ZEx5,huffmancode,EntryFileMaper,0,34,0,2,0,8,0,2,0,1
AiSD2024ZEx5,huffmancode,HuffmanCode,116,289,11,17,36,61,10,15,3,8
AiSD2024ZEx5,huffmancode.readers,BitReader,0,72,0,4,0,15,0,5,0,3
AiSD2024ZEx5,huffmancode.writers,BinaryValuesWriter,18,127,2,12,5,31,3,10,1,5
AiSD2024ZEx5,huffmancode.exceptions,ToFewBitsInFileException,0,4,0,0,0,2,0,1,0,1
